"rules","support","confidence","coverage","lift","count"
"496","{clumpThickness=Normal,uniformityCellSize=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.402489626556017,0.97979797979798,0.410788381742739,1.95959595959596,194
"20","{clumpThickness=Anormal,uniformityCellShape=Anormal} => {class=Maligno}",0.300829875518672,0.97972972972973,0.307053941908714,1.95945945945946,145
"306","{clumpThickness=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,mitoses=Normal} => {class=Benigno}",0.400414937759336,0.979695431472081,0.408713692946058,1.95939086294416,193
"460","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,mitoses=Normal} => {class=Benigno}",0.400414937759336,0.979695431472081,0.408713692946058,1.95939086294416,193
"18","{clumpThickness=Anormal,uniformityCellSize=Anormal} => {class=Maligno}",0.298755186721992,0.979591836734694,0.304979253112033,1.95918367346939,144
"110","{uniformityCellSize=Anormal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.296680497925311,0.979452054794521,0.302904564315353,1.95890410958904,143
"130","{marginalAdhesion=Normal,singleEpithCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.294605809128631,0.979310344827586,0.300829875518672,1.95862068965517,142
"107","{uniformityCellShape=Anormal,blandChromatin=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.29253112033195,0.979166666666667,0.298755186721992,1.95833333333333,141
"133","{uniformityCellSize=Anormal,marginalAdhesion=Normal,bareNuclei=Anormal} => {class=Maligno}",0.29253112033195,0.979166666666667,0.298755186721992,1.95833333333333,141
"19","{clumpThickness=Anormal,bareNuclei=Anormal} => {class=Maligno}",0.29045643153527,0.979020979020979,0.296680497925311,1.95804195804196,140
"113","{uniformityCellSize=Anormal,marginalAdhesion=Normal,normalNucleoli=Anormal} => {class=Maligno}",0.29045643153527,0.979020979020979,0.296680497925311,1.95804195804196,140
"141","{uniformityCellShape=Anormal,marginalAdhesion=Normal,bareNuclei=Anormal} => {class=Maligno}",0.29045643153527,0.979020979020979,0.296680497925311,1.95804195804196,140
"286","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,marginalAdhesion=Normal,singleEpithCellSize=Anormal} => {class=Maligno}",0.288381742738589,0.97887323943662,0.294605809128631,1.95774647887324,139
"279","{uniformityCellShape=Anormal,singleEpithCellSize=Anormal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.286307053941909,0.978723404255319,0.29253112033195,1.95744680851064,138
"260","{uniformityCellShape=Anormal,singleEpithCellSize=Anormal,blandChromatin=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.280082987551867,0.978260869565217,0.286307053941909,1.95652173913043,135
"263","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.280082987551867,0.978260869565217,0.286307053941909,1.95652173913043,135
"198","{uniformityCellSize=Normal,marginalAdhesion=Normal,bareNuclei=Normal} => {class=Benigno}",0.464730290456432,0.978165938864629,0.475103734439834,1.95633187772926,224
"126","{marginalAdhesion=Normal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.278008298755187,0.978102189781022,0.284232365145228,1.95620437956204,134
"264","{uniformityCellSize=Anormal,singleEpithCellSize=Anormal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.278008298755187,0.978102189781022,0.284232365145228,1.95620437956204,134
"17","{clumpThickness=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.275933609958506,0.977941176470588,0.282157676348548,1.95588235294118,133
"96","{clumpThickness=Anormal,uniformityCellSize=Anormal,uniformityCellShape=Anormal} => {class=Maligno}",0.275933609958506,0.977941176470588,0.282157676348548,1.95588235294118,133
"116","{marginalAdhesion=Normal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.275933609958506,0.977941176470588,0.282157676348548,1.95588235294118,133
"187","{uniformityCellShape=Normal,marginalAdhesion=Normal,blandChromatin=Normal} => {class=Benigno}",0.45850622406639,0.97787610619469,0.468879668049793,1.95575221238938,221
"102","{clumpThickness=Anormal,uniformityCellShape=Anormal,singleEpithCellSize=Anormal} => {class=Maligno}",0.273858921161826,0.977777777777778,0.280082987551867,1.95555555555556,132
